entrez_gene_id,reaction_id,rname,lmp_id,gene_name,species_long,gene_symbol
100705,R-MMU-4167511,HLCS biotinylates ACACB,LMP005741,acetyl-Coenzyme A carboxylase beta,Mus musculus,Acacb
100705,R-MMU-8876889,Btn-ACACB:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA,LMP005741,acetyl-Coenzyme A carboxylase beta,Mus musculus,Acacb
101476,R-MMU-8870332,"PTPN13:PLEKHA1,2 bind PI(3,4)P2",LMP002163,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1",Mus musculus,Plekha1
101490,R-MMU-8849969,"PI(4,5)P2, PI(3,4)P2 and PI(3,4,5)P3 are dephosphorylated to PI5P, PI3P and PI(3,4)P by INPP5F at the endosome membrane",LMP006569,inositol polyphosphate-5-phosphatase F,Mus musculus,Inpp5f
101502,R-MMU-192097,7alpha-hydroxycholesterol is oxidized and isomerized to 4-cholesten-7alpha-ol-3-one,LMP001329,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Mus musculus,Hsd3b7
101502,R-MMU-193789,"Cholest-5-ene-3beta,7alpha,24(S)-triol is oxidized and isomerized to 4-cholesten-7alpha,24(S)-diol-3-one",LMP001329,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Mus musculus,Hsd3b7
101502,R-MMU-193816,"Cholest-5-ene-3beta,7alpha,27-triol is oxidized and isomerized to 4-cholesten-7alpha,27-diol-3-one",LMP001329,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Mus musculus,Hsd3b7
101540,R-MMU-429698,"PRKD1,2,3 phosphorylates COL4A3BP-2",LMP005936,protein kinase D2,Mus musculus,Prkd2
102193,R-MMU-9021072,"ZDHHC7, ZDHHC21 palmitoylate ESR1",LMP002113,"zinc finger, DHHC domain containing 7",Mus musculus,Zdhhc7
102247,R-MMU-549112,G3P is acylated to 1-acyl LPA by AGPAT6,LMP004196,"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)",Mus musculus,Agpat6
102247,R-MMU-75885,1-acyl LPA is acylated to PA by AGPAT (LPAAT),LMP004196,"1-acylglycerol-3-phosphate O-acyltransferase 6 (lysophosphatidic acid acyltransferase, zeta)",Mus musculus,Agpat6
102632,R-MMU-5695989,ACAD11 dehydrogenates BH-CoA,LMP001811,"acyl-Coenzyme A dehydrogenase family, member 11",Mus musculus,Acad11
102954,R-MMU-1855165,(PP)2-IP4 is dephosphorylated to 5-PP-IP5 by NUDT(1) in the cytosol,LMP005377,nudix (nucleoside diphosphate linked moiety X)-type motif 10,Mus musculus,Nudt10
102954,R-MMU-1855198,5-PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP005377,nudix (nucleoside diphosphate linked moiety X)-type motif 10,Mus musculus,Nudt10
102954,R-MMU-2023971,1/3 PP-IP5 is dephosphorylated to IP6 by NUDT(1) in the cytosol,LMP005377,nudix (nucleoside diphosphate linked moiety X)-type motif 10,Mus musculus,Nudt10
102954,R-MMU-2023973,(PP)2-IP4 is dephosphorylated to 1/3-PP-IP5 by NUDT(1) in the cytosol,LMP005377,nudix (nucleoside diphosphate linked moiety X)-type motif 10,Mus musculus,Nudt10
103968,R-MMU-163422,perilipin + 3 ATP -> phosphorylated perilipin + 3 ADP,LMP002355,perilipin 1,Mus musculus,Plin1
103968,R-MMU-163511,perilipin:CGI-58 complex -> perilipin + CGI-58,LMP002355,perilipin 1,Mus musculus,Plin1
104086,R-MMU-191999,"CYP27A1 27-hydroxylates 5bCHOL3a,7a,12a-triol",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-192042,"5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol is oxidized to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-192054,"3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoate (THCA)",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-192123,CYP27A1 27-hydroxylates CHOL,LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193393,"5beta-cholestan-3alpha, 7alpha-diol is hydroxylated to 5beta-cholestan-3alpha, 7alpha, 26-triol",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193460,"3alpha, 7alpha-dihydroxy-5beta-cholestan-26-al is oxidized to 3alpha, 7alpha-dihydroxy-5beta-cholestanoate (DHCA)",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193497,"5beta-cholestan-3alpha, 7alpha, 26-triol is oxidized to 3alpha, 7alpha-dihydroxy-5beta-cholestan-26-al",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193713,"3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestanoate (TetraHCA)",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193719,"5beta-cholestan-3alpha,7alpha,24(S),27-tetrol is oxidized to 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193737,"3alpha,7alpha,24(S)-trihydroxy-5beta-cholestan-27-al is oxidized to 3alpha,7alpha,24(S)-trihydroxy-5beta-cholestanoate (3,7,24THCA)",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193780,"5beta-cholestan-3alpha,7alpha,12alpha,24(S),27-pentol is oxidized to 3alpha,7alpha,12alpha,24(S)-tetrahydroxy-5beta-cholestan-27-al",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193787,"5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol is hydroxylated to 5beta-cholestan-3alpha,7alpha,12alpha,24(S), 27-pentol",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104086,R-MMU-193792,"CYP27A1 27-hydroxylates 5β-CHOL3α,7α,24(s)-triol",LMP005529,"cytochrome P450, family 27, subfamily a, polypeptide 1",Mus musculus,Cyp27a1
104158,R-MMU-5693691,CES1 trimer.CES2 hydrolyse COCN to BEG,LMP004709,carboxylesterase 1D,Mus musculus,Ces1d
104158,R-MMU-9619024,CES1trimer hydrolyses ACEI pro-drugs to ACEIs,LMP004709,carboxylesterase 1D,Mus musculus,Ces1d
104418,R-MMU-426240,DAG kinase produces phosphatidic acid from DAG,LMP002453,diacylglycerol kinase zeta,Mus musculus,Dgkz
104709,R-MMU-1676048,"PI(4,5)P2 is phosphorylated to PI(3,4,5)P3 by PIK3C[1] at the plasma membrane",LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104709,R-MMU-1676109,"PI4P is phosphorylated to PI(3,4)P2 by PI3K3C[2] at the plasma membrane",LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104709,R-MMU-392295,Gbeta:gamma recruits PI3K gamma,LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104709,R-MMU-392300,G beta:gamma activated PI3Kgamma converts PIP2 to PIP3,LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104709,R-MMU-437118,"GPVI stimulates PI3K beta, gamma",LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104709,R-MMU-437162,"PI3K alpha, beta, gamma convert PIP2 to PIP3",LMP005028,"phosphoinositide-3-kinase, regulatory subunit 6",Mus musculus,Pik3r6
104759,R-MMU-1483172,PC is transphosphatidylated to PG by Pld1-4/6,LMP005757,"phospholipase D family, member 4",Mus musculus,Pld4
104759,R-MMU-1855214,"PL(C)D4:3xCa2+ hydrolse PI(4,5)P2 to I(1,4,5)P3 and DAG at the ER membrane",LMP005757,"phospholipase D family, member 4",Mus musculus,Pld4
104759,R-MMU-2029471,Hydrolysis of PC to PA by PLD,LMP005757,"phospholipase D family, member 4",Mus musculus,Pld4
105014,R-MMU-5419165,"RDH11,14,DHRS3,DRHS4 reduce atRAL to atROL",LMP005685,retinol dehydrogenase 14 (all-trans and 9-cis),Mus musculus,Rdh14
105349,R-MMU-192036,"5Beta-cholesten-7alpha, 12alpha-diol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha, 12alpha-triol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-192160,"5beta-cholestan-7alpha-ol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha-diol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-193758,"5beta-cholestan-7alpha,24(S)-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,24(S)-triol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-193781,"5Beta-cholestan-7alpha,12alpha,24(S)-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-193800,"5Beta-cholestan-7alpha,12alpha,27-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-193841,"5beta-cholestan-7alpha,27-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,27-triol",LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105349,R-MMU-2855252,AKRs reduce RBP2:atRAL to RBP2:atROL,LMP001930,"aldo-keto reductase family 1, member C18",Mus musculus,Akr1c18
105387,R-MMU-192036,"5Beta-cholesten-7alpha, 12alpha-diol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha, 12alpha-triol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-192160,"5beta-cholestan-7alpha-ol-3-one is reduced to 5beta-cholestan-3alpha, 7alpha-diol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-193758,"5beta-cholestan-7alpha,24(S)-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,24(S)-triol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-193781,"5Beta-cholestan-7alpha,12alpha,24(S)-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,24(S)-tetrol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-193800,"5Beta-cholestan-7alpha,12alpha,27-triol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,12alpha,27-tetrol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-193841,"5beta-cholestan-7alpha,27-diol-3-one is reduced to 5beta-cholestan-3alpha,7alpha,27-triol",LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105387,R-MMU-2855252,AKRs reduce RBP2:atRAL to RBP2:atROL,LMP002095,"aldo-keto reductase family 1, member C14",Mus musculus,Akr1c14
105501,R-MMU-5694583,ABHD4 hydrolyses NAPE,LMP004803,abhydrolase domain containing 4,Mus musculus,Abhd4
105787,R-MMU-1632857,ULK1 phosphorylates AMBRA1:Beclin-1 complex,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-200421,Activation of cytosolic AMPK by phosphorylation,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-380927,p-AMPK phosphorylates TSC1:TSC2,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-380930,Phosphorylated AMPK binds AMP,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-380949,AMPK is dephosphorylated,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-447074,AMPK phosphorylates Raptor in the mTORC1 complex,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5631941,"SESN1,2,3 bind AMPK",LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5665868,AMPK (complex) phosphorylates ULK1 (complex),LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5672008,Thr-180 of ULK1 is phosphorylated,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5672011,p-AMPK:AMP binds the ULK complex,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5673768,p-AMPK:AMP phosphorylates Raptor in the mTORC1 complex,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5675868,ULK1 phosphorylates ATG13 and RB1CC1,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5679205,ULK1 phosphorylates Beclin-1,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-5679239,ULK complex translocates to the ER,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
105787,R-MMU-6805470,AMPK phosphorylates TP53,LMP001649,"protein kinase, AMP-activated, alpha 1 catalytic subunit",Mus musculus,Prkaa1
107272,R-MMU-977333,PXLP-K200-PSAT1 dimer transfers amino group from L-Glu to 3POPA,LMP004699,phosphoserine aminotransferase 1,Mus musculus,Psat1
107476,R-MMU-163743,Transcriptional activation of Acetyl-CoA carboxylase by ChREBP:MLX,LMP006580,acetyl-Coenzyme A carboxylase alpha,Mus musculus,Acaca
107476,R-MMU-200555,acetyl-CoA + bicarbonate + ATP => malonyl-CoA + H2O + ADP + orthophosphate,LMP006580,acetyl-Coenzyme A carboxylase alpha,Mus musculus,Acaca
107476,R-MMU-2993814,HLCS biotinylates ACACA:Mn2+,LMP006580,acetyl-Coenzyme A carboxylase alpha,Mus musculus,Acaca
107476,R-MMU-75851,Btn-ACACA:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA,LMP006580,acetyl-Coenzyme A carboxylase alpha,Mus musculus,Acaca
107605,R-MMU-2454081,RDH5 oxidises 11cROL to 11cRAL,LMP002543,retinol dehydrogenase 1 (all trans),Mus musculus,Rdh1
107605,R-MMU-5362518,"RDH10,16,DHRS9,RDHE2 oxidise atROL to atRAL",LMP002543,retinol dehydrogenase 1 (all trans),Mus musculus,Rdh1
107650,R-MMU-1675883,PI is phosphorylated to PI4P by PI4KB at the Golgi membrane,LMP000012,"phosphatidylinositol 4-kinase, catalytic, beta polypeptide",Mus musculus,Pi4kb
107650,R-MMU-1676152,PI4KB binds to ARF1/3:GTP at the Golgi membrane,LMP000012,"phosphatidylinositol 4-kinase, catalytic, beta polypeptide",Mus musculus,Pi4kb
107817,R-MMU-4754176,JMJD6 demethylates MeR3-histone H3,LMP005684,jumonji domain containing 6,Mus musculus,Jmjd6
107817,R-MMU-5661122,JMJD6 demethylates Me2R3-histone H3,LMP005684,jumonji domain containing 6,Mus musculus,Jmjd6
107817,R-MMU-5661124,JMJD6 demethylates MeR4-HIST1H4,LMP005684,jumonji domain containing 6,Mus musculus,Jmjd6
107817,R-MMU-5661125,JMJD6 demethylates Me2sR4-HIST1H4,LMP005684,jumonji domain containing 6,Mus musculus,Jmjd6
108078,R-MMU-203130,OLR1 binds to oxidized LDL,LMP000913,oxidized low density lipoprotein (lectin-like) receptor 1,Mus musculus,Olr1
108078,R-MMU-6798747,Exocytosis of tertiary granule membrane proteins,LMP000913,oxidized low density lipoprotein (lectin-like) receptor 1,Mus musculus,Olr1
108078,R-MMU-6799350,Exocytosis of specific granule membrane proteins,LMP000913,oxidized low density lipoprotein (lectin-like) receptor 1,Mus musculus,Olr1
108083,R-MMU-1675776,"PI5P is phosphorylated to PI(4,5)P2 by PIP4K2 dimers at the plasma membrane",LMP001737,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Mus musculus,Pip4k2b
108083,R-MMU-1676145,"PI3P is phosphorylated to PI(3,4)P2 by PIP4K2/5K1 at the plasma membrane",LMP001737,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Mus musculus,Pip4k2b
108083,R-MMU-6811522,"PI5P is phosphorylated to PI(4,5)P2 by PIP4K2 dimers in the nucleus",LMP001737,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Mus musculus,Pip4k2b
108083,R-MMU-8877691,MAP2K6 phosphorylates PIP4K2B,LMP001737,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Mus musculus,Pip4k2b
108083,R-MMU-8877692,PIN1 binds phosphorylated PIP4K2B,LMP001737,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta",Mus musculus,Pip4k2b
108097,R-MMU-1454711,Ampk-alpha2 Phosphorylates Tbc1d1,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-1605475,Ampk phosphorylates Ppargc1a,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-1632857,ULK1 phosphorylates AMBRA1:Beclin-1 complex,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-163664,AMP binds to gamma subunit of AMP kinase heterotrimer,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-200421,Activation of cytosolic AMPK by phosphorylation,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-200423,"pAMPK inactivates ACACB, inhibiting malonyl-CoA synthesis",LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-380927,p-AMPK phosphorylates TSC1:TSC2,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-380930,Phosphorylated AMPK binds AMP,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-380949,AMPK is dephosphorylated,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-447074,AMPK phosphorylates Raptor in the mTORC1 complex,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5631941,"SESN1,2,3 bind AMPK",LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5665868,AMPK (complex) phosphorylates ULK1 (complex),LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5672008,Thr-180 of ULK1 is phosphorylated,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5672011,p-AMPK:AMP binds the ULK complex,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5673768,p-AMPK:AMP phosphorylates Raptor in the mTORC1 complex,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5675868,ULK1 phosphorylates ATG13 and RB1CC1,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5679205,ULK1 phosphorylates Beclin-1,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-5679239,ULK complex translocates to the ER,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-6805470,AMPK phosphorylates TP53,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108097,R-MMU-9613545,Prkaa2 phosphorylates Plins,LMP000595,"protein kinase, AMP-activated, beta 2 non-catalytic subunit",Mus musculus,Prkab2
108099,R-MMU-1454711,Ampk-alpha2 Phosphorylates Tbc1d1,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-1605475,Ampk phosphorylates Ppargc1a,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-1632857,ULK1 phosphorylates AMBRA1:Beclin-1 complex,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-163664,AMP binds to gamma subunit of AMP kinase heterotrimer,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-200421,Activation of cytosolic AMPK by phosphorylation,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-200423,"pAMPK inactivates ACACB, inhibiting malonyl-CoA synthesis",LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-380927,p-AMPK phosphorylates TSC1:TSC2,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-380930,Phosphorylated AMPK binds AMP,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-380949,AMPK is dephosphorylated,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-447074,AMPK phosphorylates Raptor in the mTORC1 complex,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5631941,"SESN1,2,3 bind AMPK",LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5665868,AMPK (complex) phosphorylates ULK1 (complex),LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5672008,Thr-180 of ULK1 is phosphorylated,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5672011,p-AMPK:AMP binds the ULK complex,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5673768,p-AMPK:AMP phosphorylates Raptor in the mTORC1 complex,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5675868,ULK1 phosphorylates ATG13 and RB1CC1,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5679205,ULK1 phosphorylates Beclin-1,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
108099,R-MMU-5679239,ULK complex translocates to the ER,LMP005152,"protein kinase, AMP-activated, gamma 2 non-catalytic subunit",Mus musculus,Prkag2
